source,experiment_id,algorithm,track,target_speed,gentle_speed,brake_threshold,steer_gain,best_lap_time,average_lap_time,completion_rate,crash_count,off_track_count,damage,lap_time_variance,runtime_per_run_seconds,decision_latency_ms,cpu_usage,memory_usage,lap_time_score,crash_score,off_track_score,damage_score,runtime_score,completion_penalty,balanced_score
optuna_live,OPTUNA_LIVE_001,optuna,corkscrew,77.491,49.261,0.646,1.039,195.526,195.52599999999998,1.0,0.0,0.0,0.0,0.0,12.315100000000001,0.00602,16.783333333333335,36.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
live,EXP_001,rule_based,corkscrew,80.0,45.0,0.6,1.0,196.726,196.726,1.0,0.0,0.0,0.0,0.0,12.4626,0.006430000000000001,33.96666666666667,19.76,0.28037383177570296,0.0,0.0,0.0,0.0007893819300040277,0.0,0.1122284709032816
live,EXP_001,torcs_live,corkscrew,80.0,45.0,0.6,1.0,195.766,196.076,1.0,0.0,0.0,0.0,0.0,199.17014999999998,0.03794,23.675,19.91,0.12850467289719802,0.0,0.0,0.0,1.0,0.0,0.1514018691588792
grid_live,GRID_040,grid_search,corkscrew,80.0,45.0,0.6,0.8,198.906,198.90600000000003,1.0,0.0,0.0,0.0,0.0,12.512333333333332,0.006283333333333333,17.666666666666668,19.540000000000003,0.7897196261682311,0.0,0.0,0.0,0.0010555418937477547,0.0,0.31599340465666725
grid_live,GRID_030,grid_search,corkscrew,80.0,40.0,0.5,1.2,199.806,199.806,1.0,0.0,0.0,0.0,0.0,12.393466666666667,0.006626666666666667,16.05,19.683333333333334,1.0,0.0,0.0,0.0,0.0004193981734326464,0.0,0.40004193981734326
