experiment_id,source,target_speed,gentle_speed,brake_threshold,steer_gain,mean_lap_time,best_lap_time,std_lap_time,completion_rate,mean_runtime,mean_decision_latency,crash_count,off_track_count,valid_runs,interpretation
OPTUNA_LIVE_001,optuna_live,77.491,49.261,0.646,1.039,195.52599999999998,195.526,2.842170943040401e-14,1.0,12.315100000000001,0.00602,0,0,3,"Best aggregated lap time in the filtered sample. Associations are exploratory: target_speed: higher values appear associated with worse lap time, so lower values appear better in this limited sample; requires further testing. gentle_speed: higher values appear associated with better lap time in this limited sample; requires further testing. brake_threshold: higher values appear associated with better lap time in this limited sample; requires further testing. steer_gain: higher values appear associated with worse lap time, so lower values appear better in this limited sample; requires further testing."
EXP_001,live,80.0,45.0,0.6,1.0,196.46599999999998,195.766,0.37395186856065094,1.0,87.14562,0.019034000000000002,0,0,5,"Better-than-median lap time in the filtered sample. Associations are exploratory: target_speed: higher values appear associated with worse lap time, so lower values appear better in this limited sample; requires further testing. gentle_speed: higher values appear associated with better lap time in this limited sample; requires further testing. brake_threshold: higher values appear associated with better lap time in this limited sample; requires further testing. steer_gain: higher values appear associated with worse lap time, so lower values appear better in this limited sample; requires further testing."
GRID_040,grid_live,80.0,45.0,0.6,0.8,198.90600000000003,198.906,2.842170943040401e-14,1.0,12.512333333333332,0.006283333333333333,0,0,3,"Slower-than-median lap time in the filtered sample. Associations are exploratory: target_speed: higher values appear associated with worse lap time, so lower values appear better in this limited sample; requires further testing. gentle_speed: higher values appear associated with better lap time in this limited sample; requires further testing. brake_threshold: higher values appear associated with better lap time in this limited sample; requires further testing. steer_gain: higher values appear associated with worse lap time, so lower values appear better in this limited sample; requires further testing."
GRID_030,grid_live,80.0,40.0,0.5,1.2,199.806,199.806,0.0,1.0,12.393466666666667,0.006626666666666667,0,0,3,"Slower-than-median lap time in the filtered sample. Associations are exploratory: target_speed: higher values appear associated with worse lap time, so lower values appear better in this limited sample; requires further testing. gentle_speed: higher values appear associated with better lap time in this limited sample; requires further testing. brake_threshold: higher values appear associated with better lap time in this limited sample; requires further testing. steer_gain: higher values appear associated with worse lap time, so lower values appear better in this limited sample; requires further testing."
