experiment_id,algorithm,track,target_speed,gentle_speed,brake_threshold,steer_gain,average_lap_time,completion_rate,crash_count,off_track_count,runtime_per_run_seconds,lap_time_score,crash_score,off_track_score,runtime_score,completion_penalty,balanced_score
GRID_030,grid_search,corkscrew,80,40,0.5,1.2,161.09033333333332,1.0,0.0,0.0,0.0017333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
GRID_040,grid_search,corkscrew,80,45,0.6,0.8,161.09033333333332,1.0,0.0,0.0,0.0018333333333333333,0.0,0.0,0.0,5.013122684146203e-07,0.0,5.013122684146203e-08
EXP_001,rule_based,corkscrew,80,45,0.6,1.0,161.09033333333332,1.0,0.0,0.0,0.0023333333333333335,0.0,0.0,0.0,3.007873610487722e-06,0.0,3.007873610487722e-07
GRID_001,grid_search,corkscrew,70,40,0.5,0.8,165.59033333333332,1.0,0.0,0.0,0.0017333333333333333,0.12977400098051464,0.0,0.0,0.0,0.0,0.05190960039220586
GRID_010,grid_search,corkscrew,70,45,0.5,0.8,165.59033333333332,1.0,0.0,0.0,0.0017333333333333333,0.12977400098051464,0.0,0.0,0.0,0.0,0.05190960039220586
GRID_020,grid_search,corkscrew,70,50,0.5,1.0,165.59033333333332,1.0,0.0,0.0,0.0018000000000000002,0.12977400098051464,0.0,0.0,3.342081789430813e-07,0.0,0.05190963381302375
EXP_001,torcs_live,corkscrew,80,45,0.6,1.0,195.766,1.0,0.0,0.0,199.4782,1.0,0.0,0.0,1.0,0.0,0.5
