step,distRaced,distFromStart,section,speedX,base_target_speed,proposed_target_speed,target_adjustment,target_speed,rl_target_active,safety_intervention,policy_inference,action_reused,adaptive_inference_urgent,trackPos,angle,damage,curLapTime,lastLapTime,best_lap_time,steer,residual,accel,brake,gear,reward,done_reason
26,0.0,3598.45,normal,-0.00913,136.0,71.725737,-64.274263,136.0,1,0,1,0,0,0.333439,0.008223,0.0,0.0,0.0,,0.0,-0.913216,1.0,0.0,1,-0.008371,
27,0.0,3598.45,normal,-0.00913,136.0,71.867607,-64.132393,136.0,1,0,1,0,0,0.333439,0.008223,0.0,0.0,0.0,,0.0,-0.911386,1.0,0.0,1,-0.00834,
28,0.0,3598.45,normal,-0.00913,136.0,72.038995,-63.961005,136.0,1,0,1,0,0,0.333439,0.008223,0.0,0.0,0.0,,0.0,-0.909174,1.0,0.0,1,-0.008306,
29,0.0,3598.45,normal,-0.00913,136.0,72.229677,-63.770323,136.0,1,0,1,0,0,0.333439,0.008223,0.0,0.0,0.0,,0.0,-0.906714,1.0,0.0,1,-0.008266,
30,0.0,3598.45,normal,-0.00913,136.0,72.410876,-63.589124,136.0,1,0,1,0,0,0.333439,0.008223,0.0,0.0,0.0,,0.0,-0.904376,1.0,0.0,1,-0.008221,
31,0.0,3598.45,normal,-0.00913,136.0,72.582749,-63.417251,136.0,1,0,1,0,0,0.333439,0.008223,0.0,0.0,0.0,,0.0,-0.902158,1.0,0.0,1,-0.008179,
32,0.0,3598.45,normal,-0.00913,136.0,72.752773,-63.247227,136.0,1,0,1,0,0,0.333439,0.008223,0.0,0.0,0.0,,0.0,-0.899964,1.0,0.0,1,-0.008139,
33,0.0,3598.45,normal,-0.00913,136.0,72.920535,-63.079465,136.0,1,0,1,0,0,0.333439,0.008223,0.0,0.0,0.0,,0.0,-0.8978,1.0,0.0,1,-0.008099,
34,0.0,3598.45,normal,-0.00913,136.0,73.102796,-62.897204,136.0,1,0,1,0,0,0.333439,0.008223,0.0,0.0,0.0,,0.0,-0.895448,1.0,0.0,1,-0.00806,
35,0.0,3598.45,normal,-0.00913,136.0,73.311499,-62.688501,136.0,1,0,1,0,0,0.333439,0.008223,0.0,0.0,0.0,,0.0,-0.892755,1.0,0.0,1,-0.008018,
36,0.0,3598.45,normal,-0.00913,136.0,73.521777,-62.478223,136.0,1,0,1,0,0,0.333439,0.008223,0.0,0.0,0.0,,0.0,-0.890042,1.0,0.0,1,-0.00797,
37,0.0,3598.45,normal,-0.00913,136.0,73.730401,-62.269599,136.0,1,0,1,0,0,0.333439,0.008223,0.0,0.0,0.0,,0.0,-0.88735,1.0,0.0,1,-0.007922,
38,0.0,3598.45,normal,-0.00913,136.0,73.936558,-62.063442,136.0,1,0,1,0,0,0.333439,0.008223,0.0,0.0,0.0,,0.0,-0.88469,1.0,0.0,1,-0.007874,
39,0.0,3598.45,normal,-0.00913,136.0,74.140993,-61.859007,136.0,1,0,1,0,0,0.333439,0.008223,0.0,0.0,0.0,,0.0,-0.882052,1.0,0.0,1,-0.007827,
40,0.0,3598.45,normal,-0.00913,136.0,74.353663,-61.646337,136.0,1,0,1,0,0,0.333439,0.008223,0.0,0.0,0.0,,0.0,-0.879308,1.0,0.0,1,-0.00778,
41,0.0,3598.45,normal,-0.00913,136.0,74.582636,-61.417364,136.0,1,0,1,0,0,0.333439,0.008223,0.0,0.0,0.0,,0.0,-0.876353,1.0,0.0,1,-0.007732,
42,0.0,3598.45,normal,-0.00913,136.0,74.817452,-61.182548,136.0,1,0,1,0,0,0.333439,0.008223,0.0,0.0,0.0,,0.0,-0.873323,1.0,0.0,1,-0.00768,
43,0.0,3598.45,normal,-0.00913,136.0,75.066204,-60.933796,136.0,1,0,1,0,0,0.333439,0.008223,0.0,0.0,0.0,,0.0,-0.870113,1.0,0.0,1,-0.007627,
44,0.0,3598.45,normal,-0.00913,136.0,75.330617,-60.669383,136.0,1,0,1,0,0,0.333439,0.008223,0.0,0.0,0.0,,0.0,-0.866702,1.0,0.0,1,-0.007571,
45,0.0,3598.45,normal,-0.00913,136.0,75.676163,-60.323837,136.0,1,0,1,0,0,0.333439,0.008223,0.0,0.0,0.0,,0.0,-0.862243,1.0,0.0,1,-0.007512,
46,0.0,3598.45,normal,-0.00913,136.0,76.125913,-59.874087,136.0,1,0,1,0,0,0.333439,0.008223,0.0,0.0,0.0,,0.0,-0.85644,1.0,0.0,1,-0.007435,
47,0.0,3598.45,normal,-0.00913,136.0,76.629368,-59.370632,136.0,1,0,1,0,0,0.333439,0.008223,0.0,0.0,0.0,,0.0,-0.849944,1.0,0.0,1,-0.007335,
48,0.0,3598.45,normal,-0.00913,136.0,77.204714,-58.795286,136.0,1,0,1,0,0,0.333439,0.008223,0.0,0.0,0.0,,0.0,-0.84252,1.0,0.0,1,-0.007224,
49,0.0,3598.45,normal,-0.016447,136.0,78.511281,-57.488719,136.0,1,0,1,0,0,0.33345,0.008716,0.0,0.018,0.0,,0.0,-0.825661,1.0,0.0,1,-0.007098,
50,0.000977,3598.45,normal,0.262759,136.0,67.740652,-68.259348,136.0,1,0,1,0,0,0.333443,0.008632,0.0,0.038,0.0,,0.0,-0.964637,1.0,0.0,1,-0.005841,
51,0.002197,3598.45,normal,0.145572,136.0,67.738255,-68.261745,136.0,1,0,1,0,0,0.333433,0.008668,0.0,0.058,0.0,,0.0,-0.964668,1.0,0.0,1,-0.008085,
52,0.003174,3598.45,normal,0.294071,136.0,67.756663,-68.243337,136.0,1,0,1,0,0,0.333433,0.008645,0.0,0.078,0.0,,0.0,-0.96443,1.0,0.0,1,-0.008329,
53,0.005859,3598.45,normal,0.7576,136.0,67.747249,-68.252751,136.0,1,0,1,0,0,0.333443,0.008762,0.0,0.098,0.0,,0.0,-0.964552,1.0,0.0,1,-0.006616,
54,0.012939,3598.46,normal,1.62778,136.0,67.768627,-68.231373,136.0,1,0,1,0,0,0.333438,0.008857,0.0,0.118,0.0,,0.0,-0.964276,1.0,0.0,1,-0.002223,
55,0.024902,3598.47,normal,2.62738,136.0,67.777981,-68.222019,136.0,1,0,1,0,0,0.333426,0.008879,0.0,0.138,0.0,,0.0,-0.964155,1.0,0.0,1,0.002665,
56,0.042236,3598.49,normal,3.574,136.0,67.796209,-68.203791,136.0,1,0,1,0,0,0.333404,0.008889,0.0,0.158,0.0,,0.0,-0.96392,1.0,0.0,1,0.008038,
57,0.064697,3598.51,normal,4.4869,136.0,67.814959,-68.185041,136.0,1,0,1,0,0,0.333373,0.008894,0.0,0.178,0.0,,0.0,-0.963678,1.0,0.0,1,0.01317,
58,0.092285,3598.54,normal,5.3859,136.0,67.832097,-68.167903,136.0,1,0,1,0,0,0.333333,0.008896,0.0,0.198,0.0,,0.0,-0.963457,1.0,0.0,1,0.018301,
59,0.124756,3598.57,normal,6.26367,136.0,67.847179,-68.152821,136.0,1,0,1,0,0,0.333285,0.008897,0.0,0.218,0.0,,0.0,-0.963262,1.0,0.0,1,0.023188,
60,0.162109,3598.61,normal,7.1137,136.0,67.85985,-68.14015,136.0,1,0,1,0,0,0.33323,0.008898,0.0,0.238,0.0,,0.0,-0.963099,1.0,0.0,1,0.028074,
61,0.208496,3598.66,normal,7.98993,136.0,67.88042,-68.11958,136.0,1,0,1,0,0,0.333162,0.008898,0.0,0.26,0.0,,0.0,-0.962833,1.0,0.0,1,0.037111,
62,0.255371,3598.7,normal,8.81419,136.0,67.897475,-68.102525,136.0,1,0,1,0,0,0.333092,0.008897,0.0,0.28,0.0,,0.0,-0.962613,1.0,0.0,1,0.037605,
63,0.307129,3598.75,normal,9.65238,136.0,67.916608,-68.083392,136.0,1,0,1,0,0,0.333015,0.008897,0.0,0.3,0.0,,0.0,-0.962366,1.0,0.0,1,0.042492,
