experiment_id,date_time,source,track,agent_version,state_version,policy_version,reward_version,algorithm,run_number,seed,target_speed,steer_gain,centering_gain,brake_threshold,gentle_speed,sharp_speed,straight_speed,acceleration_limit,braking_intensity,best_lap_time,average_lap_time,completed_lap,completion_rate,crash_count,off_track_count,lap_time_variance,training_time_seconds,runtime_per_run_seconds,decision_latency_ms,cpu_usage,memory_usage,config_path,telemetry_file,notes
PARTB_IMPORTED_3LAPS_NORMAL,2026-08-31T19:03:51.410770+00:00,partb_imported,corkscrew,part_b_visual_eval_agent,part_b_autoencoder_29_to_8,optimized_v6_student32,part_b_longitudinal_reward_v6,Part B imported residual policy,1,,120.05,,,,,,,,,106.986,108.007,1,1.0,0,0,0.0,0.0,324.022,0.0,0.0,0.0,/Users/thenotoriouscode/Desktop/gaurav-diss-final/data/part_b_imports/eval_laps3_normal_visual_summary.csv,/Users/thenotoriouscode/Desktop/gaurav-diss-final/data/telemetry_logs/PARTB_IMPORTED_3LAPS_NORMAL_telemetry.csv,"Imported Part B visual evaluation; model developed by Part B and evaluated within Part C framework. PPO is not self-reported in the source summary for this row; algorithm type is recorded conservatively from telemetry columns rl_target_active, policy_inference, and residual."
PARTB_PPO_OPTIMIZED,2026-08-31T19:03:51.410943+00:00,partb_imported,corkscrew,longitudinal_residual_ppo,part_b_autoencoder_29_to_8,optimized_v6_student32,part_b_longitudinal_reward_v6,PPO-based optimised policy,3,,118.862,,,,,,,,,106.892,107.939,1,1.0,0,0,0.714919,0.0,618.7734,0.26126,1.82,321.33,/Users/thenotoriouscode/Desktop/gaurav-diss-final/data/part_b_imports/optimized_v6_student32_eval3_summary.csv,/Users/thenotoriouscode/Desktop/gaurav-diss-final/data/telemetry_logs/optimized_v6_student32_eval3_telemetry.csv,Imported Part B PPO evaluation from archive; model developed by Part B and evaluated within Part C framework. Algorithm label sourced from Part B summary controller='longitudinal_residual_ppo'.
PARTB_PPO_OPTIMIZED,2026-08-31T19:03:51.410947+00:00,partb_imported,corkscrew,longitudinal_residual_ppo,part_b_autoencoder_29_to_8,optimized_v6_student32,part_b_longitudinal_reward_v6,PPO-based optimised policy,2,,119.858,,,,,,,,,106.922,106.978,1,1.0,0,0,0.001704,0.0,618.7714,0.18549,1.36,322.92,/Users/thenotoriouscode/Desktop/gaurav-diss-final/data/part_b_imports/optimized_v6_student32_eval2_retry1_summary.csv,/Users/thenotoriouscode/Desktop/gaurav-diss-final/data/telemetry_logs/optimized_v6_student32_eval2_retry1_telemetry.csv,Imported Part B PPO evaluation from archive; model developed by Part B and evaluated within Part C framework. Algorithm label sourced from Part B summary controller='longitudinal_residual_ppo'.
PARTB_PPO_OPTIMIZED,2026-08-31T19:03:51.410953+00:00,partb_imported,corkscrew,longitudinal_residual_ppo,part_b_autoencoder_29_to_8,optimized_v6_student32,part_b_longitudinal_reward_v6,PPO-based optimised policy,1,,119.858,,,,,,,,,106.922,106.978,1,1.0,0,0,0.001704,0.0,618.7802,0.19955,1.44,323.44,/Users/thenotoriouscode/Desktop/gaurav-diss-final/data/part_b_imports/optimized_v6_student32_eval1_summary.csv,/Users/thenotoriouscode/Desktop/gaurav-diss-final/data/telemetry_logs/optimized_v6_student32_eval1_telemetry.csv,Imported Part B PPO evaluation from archive; model developed by Part B and evaluated within Part C framework. Algorithm label sourced from Part B summary controller='longitudinal_residual_ppo'.
